Applicants,Age,Gender,Education Type,Employment Type,Experience Years,Annual Income (₹),Loan Type,Loan Amount,Loan Term Years,Interest Rate (%),EMI (₹),Credit Score,Previous Default,Active Loans,Debt to Income Ratio,Fraud Flag,Risk Score,Risk Category,Loan Status
A001,30,Male,High School,Salaried,8,600000,Home,3000000,10,0.105,40480.5,570,Yes,2,1.6192,Yes,2,High Risk,Rejected
A002,58,Female,Post Graduate,Salaried,29,1450000,Personal,870000,2.5,0.12,33710.86,780,No,0,0,No,97,Low Risk,Approved
A003,45,Female,Diploma,Self-Employed,25,1850000,Personal,1110000,3,0.099,35764.49,840,No,1,0.232,No,90,Low Risk,Approved
A004,45,Male,Graduate,Self-Employed,12,1105000,Home,5525000,10,0.105,74551.59,560,Yes,2,1.6192,Yes,2,High Risk,Rejected
A005,36,Male,High School,Salaried,9,650000,Personal,390000,3.5,0.18,12583.06,670,No,0,0,No,92,Low Risk,Approved
A006,37,Female,High School,Salaried,17,1050000,Personal,630000,2,0.2,32064.36,600,No,1,0.3664,No,74,Medium Risk,Rejected
A007,55,Male,Graduate,Salaried,23,1950000,Home,9750000,10,0.095,126162.62,650,No,1,0.7764,No,60,Medium Risk,Approved
A008,26,Female,High School,Salaried,6,360000,Personal,216000,2.5,0.12,8369.59,790,No,0,0,No,97,Low Risk,Approved
A009,36,Female,Graduate,Self-Employed,10,1250000,Personal,750000,2,0.18,37443.08,690,No,1,0.3595,No,78,Low Risk,Approved
A010,40,Male,Diploma,Salaried,16,1350000,Home,6750000,10,0.095,87343.35,670,No,1,0.7764,No,60,Medium Risk,Approved
A011,54,Female,High School,Salaried,31,1230000,Personal,738000,3,0.26,29734.48,560,Yes,1,0.2901,No,55,Medium Risk,Rejected
A012,29,Female,Graduate,Salaried,7,720000,Home,3600000,15,0.105,39794.36,560,Yes,1,0.6632,Yes,40,High Risk,Rejected
A013,23,Male,Diploma,Self-Employed,1,330000,Personal,198000,2,0.099,9127.56,800,No,1,0.3319,No,84,Low Risk,Approved
A014,49,Female,Post Graduate,Self-Employed,27,2150000,Business,21500000,10,0.16,360153.21,740,No,0,0,No,95,Low Risk,Approved
